Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,name,position,velocity,effort
1765492308.4301379,3,273000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.194284240857376e-18, -4.031538505448972e-18, 1.7678542816538528e-18, -2.7923788039082134e-18]","[4.2357828594645415e-18, 4.3212709228072755e-18, 2.089161716851478e-17, -2.5501703300763907e-18]","[nan, nan, nan, nan]"
1765492308.4519837,3,294000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.089043001669537e-18, -3.985283079367103e-18, 1.7492843251476768e-18, -2.8778997676141636e-18]","[3.7884414253424855e-18, -8.467075291934507e-18, -8.314293625823191e-18, -1.267821251679722e-17]","[nan, nan, nan, nan]"
1765492308.4720883,3,315000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.270185262449426e-18, -4.103783583141119e-18, 1.400130582790718e-18, -3.000482018850373e-18]","[-1.2973148266750183e-17, -1.6990658349961996e-17, -1.966150795089362e-17, -1.110833394737557e-17]","[nan, nan, nan, nan]"
1765492308.4936135,3,336000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.299569318074153e-18, -4.170145630307095e-18, 1.3954957479084268e-18, -3.0583198284750098e-18]","[2.7143149587756022e-17, 1.7254254528200924e-17, 3.0042762142484915e-17, 1.3707785157432086e-17]","[nan, nan, nan, nan]"
1765492308.5152025,3,357000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.334848976604317e-18, -4.27354400109713e-18, 1.2239600650837813e-18, -3.073978586415949e-18]","[-1.0001890340928773e-17, -1.359218002611855e-18, -1.0353802415608226e-17, -2.7274584587503305e-18]","[nan, nan, nan, nan]"
1765492308.5358841,3,378000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.278825750506942e-18, -4.2510598521771275e-18, 1.1853239684386185e-18, -3.033629186393418e-18]","[3.9637760639410535e-18, 4.845658465471952e-18, -6.93089169860451e-18, -2.52488965426425e-18]","[nan, nan, nan, nan]"
1765492308.5568287,3,399000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.282396357556596e-18, -4.4082292291495744e-18, 9.826479012357794e-19, -3.1009471115105287e-18]","[7.252890527407749e-18, 7.254560432975626e-19, -9.447840379442621e-18, -2.309699155123445e-18]","[nan, nan, nan, nan]"
1765492308.5779665,3,420000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-4.0558537954307206e-18, -4.393215418050645e-18, 8.927583003229969e-19, -3.1051625384645785e-18]","[2.2796318663741e-17, -6.985445662579516e-19, 1.2577352045643929e-17, 1.0504703120979842e-17]","[nan, nan, nan, nan]"
1765492308.5992787,3,441000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-3.96793892720276e-18, -4.455860786559669e-18, 7.5640981365682735e-19, -3.1316662682125873e-18]","[7.66830508461772e-18, -6.152023672803386e-18, -1.5306825283739562e-18, -9.466368911171433e-19]","[nan, nan, nan, nan]"
1765492308.6205513,3,462000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-3.719943107762272e-18, -4.509030143709202e-18, 6.683749916372139e-19, -3.223197375111493e-18]","[2.9404976354570297e-18, -1.9480102426614974e-17, -1.4555257534774628e-17, -1.0669658707320173e-17]","[nan, nan, nan, nan]"
1765492308.64196,3,483000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-3.530309806899315e-18, -4.6075273868960285e-18, 5.658044905873972e-19, -3.3946342242121696e-18]","[-9.173795700045272e-18, -2.5037155309135148e-17, -2.7745409327397303e-17, -2.858601413507437e-17]","[nan, nan, nan, nan]"
1765492308.666601,3,501000000,base_link,"['front_left_wheel_joint', 'front_right_wheel_joint', 'rear_left_wheel_joint', 'rear_right_wheel_joint']","[-3.75942152761543e-18, -4.860669795794184e-18, 2.4331057037403808e-19, -3.7023176723001684e-18]","[-4.0691616907131984e-18, -9.655650117215196e-19, -2.7189513350895666e-18, 6.132852874039056e-18]","[nan, nan, nan, nan]"
