Timestamp,clock_sec,clock_nanosec
1765492299.280724,0,6000000
1765492299.2837424,0,9000000
1765492299.2868338,0,12000000
1765492299.2899628,0,15000000
1765492299.2930672,0,18000000
1765492299.2961793,0,21000000
1765492299.2992716,0,24000000
1765492299.302388,0,27000000
1765492299.3053946,0,30000000
1765492299.3084707,0,33000000
1765492299.3115814,0,36000000
1765492299.3149538,0,39000000
1765492299.3188145,0,42000000
1765492299.3209646,0,45000000
1765492299.3240495,0,48000000
1765492299.327078,0,51000000
1765492299.3302076,0,54000000
1765492299.3333893,0,57000000
1765492299.3364058,0,60000000
1765492299.3394713,0,63000000
1765492299.3426454,0,66000000
1765492299.3455327,0,69000000
1765492299.3486,0,72000000
1765492299.3516798,0,75000000
1765492299.3547504,0,78000000
1765492299.3578024,0,81000000
1765492299.3608422,0,84000000
1765492299.3639197,0,87000000
1765492299.366933,0,90000000
1765492299.370044,0,93000000
1765492299.3730674,0,96000000
1765492299.3761227,0,99000000
1765492299.3791673,0,102000000
1765492299.382275,0,105000000
1765492299.38532,0,108000000
1765492299.3883777,0,111000000
1765492299.3914165,0,114000000
1765492299.394499,0,117000000
1765492299.397569,0,120000000
1765492299.400678,0,123000000
1765492299.4036767,0,126000000
1765492299.4067388,0,129000000
1765492299.4097936,0,132000000
1765492299.4128475,0,135000000
1765492299.4159138,0,138000000
1765492299.4190001,0,141000000
1765492299.4220345,0,144000000
1765492299.4251153,0,147000000
1765492299.4281366,0,150000000
1765492299.431198,0,153000000
1765492299.4342597,0,156000000
1765492299.4372966,0,159000000
1765492299.4408877,0,162000000
1765492299.4434958,0,165000000
1765492299.4465058,0,168000000
1765492299.4496005,0,171000000
1765492299.4534235,0,174000000
1765492299.4557762,0,177000000
1765492299.4588628,0,180000000
1765492299.4618995,0,183000000
1765492299.464976,0,186000000
1765492299.4680545,0,189000000
1765492299.4711087,0,192000000
1765492299.474129,0,195000000
1765492299.4771397,0,198000000
1765492299.4801989,0,201000000
1765492299.4833043,0,204000000
1765492299.4864826,0,207000000
1765492299.4895136,0,210000000
1765492299.4925141,0,213000000
1765492299.4955857,0,216000000
1765492299.4985528,0,219000000
1765492299.5015976,0,222000000
1765492299.504647,0,225000000
