Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z
1765492307.0280132,1,908000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.0492735,1,929000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.0699418,1,950000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.0904484,1,971000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.1148775,1,992000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.1328115,2,13000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.1536283,2,34000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.1753728,2,55000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.1965678,2,76000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.2218847,2,94000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.2549303,2,115000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.2758443,2,139000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.2968342,2,160000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.3175702,2,181000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.3384266,2,202000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.3609333,2,223000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.381676,2,244000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.4027894,2,265000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.4236438,2,286000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.4447467,2,307000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.465989,2,328000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.4876277,2,349000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.5074334,2,370000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.52878,2,391000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.549985,2,412000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.5709727,2,433000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.5924206,2,454000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.6129534,2,475000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.6386478,2,496000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.6591947,2,517000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.6806583,2,538000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.7023773,2,559000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.7235034,2,580000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.744335,2,601000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.765153,2,622000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.7864826,2,643000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.8076587,2,664000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.8286097,2,685000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.8502836,2,706000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.8711169,2,727000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.8920302,2,748000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.9139628,2,769000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.9348974,2,790000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.9561646,2,811000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.9773736,2,832000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492307.9988132,2,853000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.019355,2,874000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.0410998,2,895000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.0620232,2,916000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.0832574,2,937000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.1045728,2,958000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.1262786,2,979000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.1519432,3,0,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.173296,3,21000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.194051,3,42000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.2168875,3,63000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.2374103,3,84000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.2600358,3,105000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.2809746,3,126000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.3027298,3,147000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.3242419,3,168000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.3450456,3,189000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.3663142,3,210000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.387451,3,231000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.408758,3,252000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.430156,3,273000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.4520283,3,294000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.4721177,3,315000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.4936476,3,336000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.515439,3,357000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.5359097,3,378000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.5568116,3,399000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.578044,3,420000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.5992496,3,441000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.620593,3,462000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.6419897,3,483000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.6666427,3,501000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.6875873,3,525000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.709174,3,546000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.7301996,3,567000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.7510526,3,588000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.7727299,3,609000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.7939973,3,630000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.81514,3,651000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.8363237,3,672000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.8574305,3,693000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.8793964,3,714000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.8996043,3,735000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.9210653,3,756000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.9420118,3,777000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.9631984,3,798000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492308.9847727,3,819000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.0055246,3,840000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.0270395,3,861000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.0484943,3,882000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.0696862,3,903000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.0904777,3,924000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.112327,3,945000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.1332226,3,966000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.1548111,3,987000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.175996,4,8000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.203079,4,29000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.2227428,4,50000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.243775,4,71000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.2650464,4,92000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.2870858,4,113000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.3075304,4,134000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.3282182,4,155000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.3494995,4,176000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.370318,4,197000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.3916807,4,218000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.4135878,4,239000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.4346654,4,260000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.4557958,4,281000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.4765182,4,302000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.498278,4,323000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.5193756,4,344000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.5403228,4,365000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.5620031,4,386000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.5830004,4,407000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.6043708,4,428000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.6251593,4,449000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.646914,4,470000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.668155,4,491000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.6889222,4,512000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.7100914,4,533000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.7326949,4,554000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.7596285,4,575000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.7804995,4,596000000,,0.0,0.0,0.0,0.0,0.0,0.0
1765492309.801242,4,617000000,,0.0,0.0,0.0,0.0,0.0,0.0
